,ID,city,lat,lng,temp,humidity,cloudiness,wind speed,max temp
0,6201424,Mataura,-46.19,168.86,77.65,58,64,0.58,77.65
1,1819729,Hong Kong,22.29,114.16,61.66,77,40,11.41,63.0
2,1507390,Dikson,73.51,80.55,-5.84,95,100,5.39,-5.84
3,2075265,Busselton,-33.65,115.33,90.73,24,97,5.23,93.0
4,4030556,Rikitea,-23.12,-134.97,79.11,77,0,10.22,79.11
5,2630299,Hofn,64.25,-15.21,38.97,86,82,16.04,38.97
6,6620339,Karratha,-20.74,116.85,85.62,71,0,9.53,85.62
7,5848280,Kapaa,22.08,-159.32,76.1,69,40,4.7,78.8
8,494884,Shenkursk,62.11,42.9,2.12,96,100,6.46,2.12
9,5282297,Bethel,41.37,-73.41,40.89,93,90,6.93,45.0
10,1512101,Agirish,61.92,63.02,-7.78,98,59,2.57,-7.78
11,6170031,Tuktoyaktuk,69.45,-133.04,-13.0,69,90,24.16,-13.0
12,6063191,Mackenzie,55.3,-123.17,30.2,86,1,6.93,30.2
13,3361934,Saldanha,-33.01,17.94,59.0,93,83,3.36,59.0
14,2034615,Tahe,52.33,124.73,5.02,79,0,1.63,5.02
15,2297810,Mumford,5.26,-0.76,72.14,90,95,2.55,72.14
16,2123628,Magadan,59.57,150.8,2.26,78,100,18.34,2.26
17,5106841,Albany,42.6,-73.97,35.51,93,90,8.05,39.0
18,60019,Eyl,7.98,49.82,78.76,80,9,20.2,78.76
19,1006984,East London,-33.02,27.91,69.8,88,75,11.41,69.8
20,3652764,Puerto Ayora,-0.74,-90.35,75.99,31,54,1.99,75.99
21,2181625,Te Anau,-45.42,167.72,63.37,79,100,7.38,63.37
22,4034551,Faanui,-16.48,-151.75,83.16,72,62,8.79,83.16
23,546105,Nikolskoye,59.7,30.79,28.89,86,100,4.47,30.99
24,3515120,Tres Picos,15.87,-93.53,65.14,89,0,2.8,65.14
25,525426,Sobolevo,54.43,31.9,28.29,87,0,8.43,28.29
26,472761,Volgodonsk,47.51,42.15,34.18,97,100,15.95,34.18
27,935214,Saint-Pierre,-21.34,55.48,74.37,78,75,8.05,78.8
28,964432,Port Alfred,-33.59,26.89,66.99,97,80,8.01,66.99
29,5847486,Kailua,21.4,-157.74,76.42,78,75,8.05,80.6
30,1045114,Inhambane,-23.86,35.38,77.94,80,22,9.93,77.94
31,1491230,Sovetskiy,61.36,63.58,-5.19,98,91,3.44,-5.19
32,777019,Vardo,70.37,31.11,17.6,85,100,26.4,17.6
33,1634614,Nabire,-3.37,135.48,88.45,61,52,5.93,88.45
34,1282256,Hithadhoo,-0.6,73.08,82.49,77,100,9.75,82.49
35,3874787,Punta Arenas,-53.15,-70.92,48.09,70,75,20.8,48.2
36,3115824,Muros,42.78,-9.06,43.65,93,75,5.82,50.0
37,1814093,Dali,25.7,100.18,48.34,40,0,2.66,48.34
38,1265022,Lathi,21.72,71.38,66.9,26,0,7.43,66.9
39,2017155,Saskylakh,71.92,114.08,-20.51,93,99,16.46,-20.51
40,4032243,Vaini,-21.2,-175.2,80.6,88,90,10.29,80.6
41,2092164,Lorengau,-2.02,147.27,84.22,71,85,6.04,84.22
